name,label
31.8431,31.8431
31.8432,31.8432
31.8433,31.8433
31.8434,31.8434
31.8435,31.8435
31.8436,31.8436
31.8437,31.8437
31.844,31.844
31.8441,31.8441
31.8442,31.8442
31.845,31.845
31.8451,31.8451
31.8452,31.8452
31.846,31.846
31.84,31.84 Landes à Genêts
31.85,31.85 Landes à Ajoncs
31.861,31.861 Landes subatlantiques à Fougères
31.862,31.862
31.863,31.863 Landes supra méditerranéennes à Fougères
31.86,31.86 Landes à Fougères
31.8711,31.8711 Clairières à Epilobes et Digitales
31.8712,31.8712 Clairières à Bardane et Belladonne
31.871,31.871 Clairières herbacées forestières
31.872,31.872 Clairières à couvert arbustif
31.87,31.87 Clairières forestières
31.881,31.881 Landes à Genévriers
31.882,31.882 Landes à Genévriers
31.883,31.883
31.88,31.88 Fruticées à Genévriers communs
31.891,31.891 Fourrés caducifoliés sub méditerranéens franco ibériques
31.892,31.892
31.893,31.893
31.894,31.894
31.89,31.89 Fourrés caducifoliés sub méditerranéens sud occidentaux
31.8A1,31.8A1 Fourrés cyrno sardes subméditerranéens caducifoliés{31.8A1}
31.8A2,31.8A2{31.8A2}
31.8A,31.8A Fourrés tyrrhéniens subméditerranéens caducifoliés{31.8A}
31.8B1,31.8B1{31.8B1}
31.8B2,31.8B2{31.8B2}
31.8B3,31.8B3{31.8B3}
31.8B4,31.8B4{31.8B4}
31.8B,31.8B Fourrés caducifoliés sub méditerranéens sud orientaux{31.8B}
31.8C,31.8C Fourrés de Noisetiers{31.8C}
31.8D,31.8D Recrûs forestiers caducifoliés{31.8D}
31.8E,31.8E Taillis{31.8E}
31.8F,31.8F Fourrés mixtes{31.8F}
31.8,31.8 Fourrés
31.8G,31.8G Prébois de résineux{31.8G}
31,31 Landes et fruticées
32.111,32.111 Matorral de Quercus suber
32.112,32.112 Matorral acidiphile de Quercus ilex
32.113,"32.113 Matorral calciphile à Quercus ilex, Q. coccifera"
32.114,32.114
32.1141,32.1141
32.1142,32.1142
32.1143,32.1143
32.115,32.115
32.116,32.116
32.1161,32.1161
32.1162,32.1162
32.11,32.11 Matorral à Chênes sempervirents
32.121,32.121 Matorral arborescent à Olivier sauvage
32.122,32.122 Matorral arborescent à Caroubier
32.123,32.123 Matorral arborescent à Lentisque
32.124,32.124 Matorral arborescent à Myrte
32.125,32.125
32.12,32.12 Matorral à Oliviers et Lentisques
32.1311,32.1311 Matorral arborescent interne à Juniperus oxycedrus
32.1312,32.1312 Matorral arborescent à Juniperus macrocarpa
32.1313,32.1313
32.131,32.131 Matorral arborescent à Juniperus oxycedrus
32.1321,"32.1321 Matorral arborescent, intérieur, à Juniperus phoenicea"
32.1322,32.1322 Matorral arborescent à Juniperus lycia
32.132,32.132 Matorral arborescent à Juniperus phoenicea
32.133,32.133
32.1331,32.1331
32.1332,32.1332
32.134,32.134 Matorral arborescent à Juniperus communis
32.135,32.135
32.136,32.136 Matorral arborescent à Juniperus thurifera
32.13,32.13 Matorral à Genévriers
32.141,32.141 Matorral arborescent à Pin mésogéen (Pinus pinaster)
32.142,32.142 Matorral arborescent à Pin pignon (Pinus pinea)
32.143,32.143 Matorral arborescent à Pin d'Alep (Pinus halepensis)
32.144,32.144
32.145,32.145 Matorral arborescent à Pin noir ou à Pin sylvestre
32.14,32.14 Matorral à Pins
32.15,32.15
32.161,32.161
32.162,32.162 Matorral occidental à Chênes caducifoliés
32.16,32.16 Matorral arborescent à chênes caducifoliés
32.17,32.17
32.18,32.18 Matorral à Lauriers
32.19,32.19
32.1A,32.1A{32.1A}
